# CSV-File created with merge-csv.com
# -----------------------------------------------------------

fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,02,ANDHRA PRADESH,0202,VIZIANAGARAM,3034040,153.945907079871,4,495,0,52,385,46115,98321,14756,72585,2086,17586,0,151.3611553,23214,26783,341827,626570,0,387590,691394,46167,151.3611553,74704,46,23.98,38.58,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,205.930268226853,4,200,0,46,514,43221,59651,14579,193176,928,21177,1.68178,124.5212443,12096,16996,364489,700518,0,451954,833783,43267,122.8394643,34447,35,8.66,6.58,100,NA
2025-2026,April,02,ANDHRA PRADESH,0220,PALNADU,771052,371.521100536318,4,72,0,232,191,32797,32257,7179,117108,2618,40522,0,119.8415614,6721,9726,250723,452127,0,342398,589137,33029,119.8415614,15886,30,48.91,1.72,100,NA
2025-2026,April,02,ANDHRA PRADESH,0202,VIZIANAGARAM,3034040,136.005336818458,4,791,0,74,314,46135,166039,24017,72603,3625,17588,0,225.8219012,37042,42898,341897,626703,0,387617,691462,46209,225.8219012,127257,46,20.6,47.6,100,NA
2025-2026,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,1217190,239.34839953157,4,782,0,64,280,38405,215187,16576,34265,4131,16586,0.5,515.5466405,49399,58571,231568,381157,0,288948,455436,38469,515.0466405,157345,58,26.25,54.98,100,NA
2025-2026,April,02,ANDHRA PRADESH,0219,BAPATLA,917967,276.509668275355,5,157,0,125,137,32092,55739,14020,135901,2129,14614,0,154.123724,9635,13293,205133,382048,0,270627,477580,32217,154.123724,29274,27,50.03,9.31,100,NA
2025-2026,April,02,ANDHRA PRADESH,0220,PALNADU,771052,372.357728005456,4,72,0,232,184,32873,32258,7169,117111,2618,40524,0,120.1151559,6723,9731,250718,452138,0,342524,589373,33105,120.1151559,15885,30,35.59,1.23,100,NA
2025-2026,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,1217190,517.850742705572,2,1,0,61,622,38062,377,19,34201,1,16563,0,1.9522973,179,184,231034,380209,0,288349,454454,38123,1.9522973,329,58,2.87,0.66,100,NA
2025-2026,April,02,ANDHRA PRADESH,0221,NANDYAL,979833,0,0,0,0,3,490,41127,0,0,109629,0,13457,0,0,0,0,205109,396329,0,270760,506596,41130,0,0,42,68.61,0.14,0,NA
2025-2026,April,02,ANDHRA PRADESH,0201,SRIKAKULAM,2725348,220.031044577512,2,33,0,324,848,47653,3006,272,58700,256,39241,0,6.6141332,1468,1663,369679,652665,0,439785,747752,47977,6.6141332,2267,47,5.52,2.36,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,11276.7913043478,1,0,0,69,708,51022,46,16,136340,9,29292,0,5.187324,28,33,268021,469187,0,358880,607413,51091,5.187324,16,42,32.44,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,16627.045,1,0,0,21,452,46862,32,6,105972,0,7523,0,5.3206544,22,31,256723,503654,0,341285,648916,46883,5.3206544,14,40,25.48,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,65950.1138709677,1,0,0,4,257,22984,31,23,120752,0,23214,0,20.4445353,21,28,171657,317298,0,214772,387123,22988,20.4445353,16,40,4.21,0.1,100,NA
2025-2026,April,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,641749,42726.071111111,3,0,0,48,454,37499,9,2,64100,0,24667,0,3.84534639999999,3,5,208867,397045,0,282315,522581,37547,3.84534639999999,5,58,25.97,0.11,100,NA
2025-2026,April,02,ANDHRA PRADESH,0224,TIRUPATI,633272,152980.508947368,1,0,0,49,736,37315,19,1,148829,0,31668,0,29.0662966999999,10,10,214924,384278,0,274739,474602,37364,29.0662966999999,18,46,57.6,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,262.525636427717,8,120,0,6,7,5371,113485,8131,4259,715,467,0,297.927218499995,13985,16849,31065,49559,0,36422,56065,5377,297.927218499995,86746,56,5.19,99.08,100,NA
2025-2026,April,02,ANDHRA PRADESH,0206,KRISHNA,750506,283.027807957329,9,1031,0,146,6,36699,659166,268098,120206,10174,5623,0,1865.62308060001,67750,107083,176266,326005,0,221219,391457,36845,1865.62308060001,364767,25,86.84,92.3,100,NA
2025-2026,April,02,ANDHRA PRADESH,0211,Y.S.R,1024708,258.548903593862,8,823,0,116,32,39662,503080,97296,76569,5155,5269,0,1300.7078242,58205,82086,182859,342553,0,244816,449939,39778,1300.7078242,326507,39,41.8,92.63,100,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,264.599695586086,7,664,0,113,57,48403,342100,67838,106371,6815,7569,5.15,910.3455586,48702,74591,258072,506499,0,341978,650551,48516,905.1955586,187150,40,64,81.95,100,NA
